,url,name,labels,Abstract,Animal_Skins,Animals/Birds,Border,Camouflage,Checks,Conversationals,Ethnic,Floral,Geometric,Nature,Paisleys,Placements,Stripes,Texture,Traditional,Tribal,Tropical
0,https://production-cdn1.patternbank.com/uploads/uploaded_files/attachments/003/860/422/1686847655/original/318287-preview-small.jpg,671318287-abstract-magenta-art-texture.jpg,"['Abstract', 'Stripes', 'Texture']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,https://production-cdn1.patternbank.com/uploads/uploaded_files/attachments/003/859/225/1686764370/original/318145-preview-small.jpg,762318145-inky-rainbow-stripe.jpg,"['Abstract', 'Stripes', 'Traditional']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,https://production-cdn2.patternbank.com/uploads/uploaded_files/attachments/003/859/763/1686816788/original/318215-preview-small.jpg,355318215-gradient-lines.jpg,"['Geometric', 'Stripes', 'Tropical']",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3,https://production-cdn.patternbank.com/uploads/uploaded_files/attachments/003/858/751/1686751609/original/318088-preview-small.jpg,182318088-stipes.jpg,"['Geometric', 'Stripes', 'Texture']",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
4,https://production-cdn.patternbank.com/uploads/uploaded_files/attachments/003/859/673/1686803902/original/318204-preview-small.jpg,447318204-boho-indian-paisley-watercolor-resort-print.jpg,"['Geometric', 'Stripes', 'Paisleys']",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
5,https://production-cdn1.patternbank.com/uploads/uploaded_files/attachments/003/859/530/1686787610/original/318187-preview-small.jpg,744318187-watercolour-textures-stripe-blues-and-lilac.jpg,"['Abstract', 'Stripes', 'Texture']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6,https://production-cdn1.patternbank.com/uploads/uploaded_files/attachments/003/858/924/1686753825/original/318110-preview-small.jpg,891318110-cute-sienna-leaves.jpg,"['Floral', 'Abstract', 'Stripes']",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,https://production-cdn1.patternbank.com/uploads/uploaded_files/attachments/003/858/978/1686754565/original/318117-preview-small.jpg,333318117-grey-and-white-geometric-dimond.jpg,"['Geometric', 'Checks', 'Stripes']",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
8,https://production-cdn1.patternbank.com/uploads/uploaded_files/attachments/003/858/874/1686753232/original/318105-preview-small.jpg,155318105-black-and-white-geometric-tartan-check.jpg,"['Geometric', 'Checks', 'Stripes']",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
9,https://production-cdn2.patternbank.com/uploads/uploaded_files/attachments/003/859/757/1686816722/original/318216-preview-small.jpg,107318216-impressionist-freehand-striations-design.jpg,"['Stripes', 'Traditional', 'Texture']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
