,url,name,labels
0,https://production-cdn1.patternbank.com/uploads/uploaded_files/attachments/001/768/323/1492552477/original/80492-preview-small.jpg,76480492-ditsey.jpg,['Floral']
1,https://production-cdn2.patternbank.com/uploads/uploaded_files/attachments/001/768/347/1492555230/original/80497-preview-small.jpg,54780497-ditsy.jpg,"['Floral', 'Traditional']"
2,https://production-cdn.patternbank.com/uploads/uploaded_files/attachments/002/592/804/1595344897/original/174360-preview-small.jpg,900174360-ditsy.jpg,['Floral']
3,https://production-cdn.patternbank.com/uploads/uploaded_files/attachments/002/518/405/1589111187/original/166183-preview-small.jpg,363166183-ditsy.jpg,"['Floral', 'Ethnic', 'Tribal']"
4,https://production-cdn.patternbank.com/uploads/uploaded_files/attachments/002/701/427/1605718714/original/185571-preview-small.jpg,560185571-ditsy.jpg,"['Tropical', 'Animal Skins', 'Nature']"
5,https://production-cdn2.patternbank.com/uploads/uploaded_files/attachments/002/823/080/1615741394/original/199724-preview-small.jpg,455199724-ditsy.jpg,"['Floral', 'Abstract', 'Texture']"
6,https://production-cdn2.patternbank.com/uploads/uploaded_files/attachments/002/580/747/1594311061/original/173028-preview-small.jpg,738173028-ditsy.jpg,['Floral']
7,https://production-cdn1.patternbank.com/uploads/uploaded_files/attachments/002/999/796/1629662895/original/220192-preview-small.jpg,730220192-ditsy.jpg,"['Floral', 'Tropical', 'Nature']"
8,https://production-cdn.patternbank.com/uploads/uploaded_files/attachments/003/055/631/1633586281/original/226565-preview-small.jpg,205226565-ditsy.jpg,"['Floral', 'Abstract', 'Texture']"
9,https://production-cdn1.patternbank.com/uploads/uploaded_files/attachments/003/082/311/1635511668/original/229514-preview-small.jpg,279229514-ditsy.jpg,"['Floral', 'Traditional', 'Nature']"
10,https://production-cdn.patternbank.com/uploads/uploaded_files/attachments/003/057/838/1633757455/original/226811-preview-small.jpg,484226811-ditsy.jpg,"['Floral', 'Abstract', 'Texture']"
11,https://production-cdn2.patternbank.com/uploads/uploaded_files/attachments/003/125/793/1638467188/original/234450-preview-small.jpg,501234450-ditsy.jpg,"['Floral', 'Ethnic', 'Abstract']"
